Company,Title,Disc,Link
Nelly Solutions,"(Senior) Fullstack Engineer, TypeScript","We’re on the lookout for an ambitious Fullstack Typescript Engineer to join our team of engineers at our office in Berlin. Come make an impact at this early stage  and well-funded medical fintech! About Nelly At Nelly, we streamline practice management and eliminate paper chaos. Our digital solutions include patient check-in, real-time document handling, and...",https://berlinstartupjobs.com/companies/nelly-solutions/
Visier,Senior Software Developer,"Visier is the leader in people analytics and we believe in a ‘people-first’ approach to business strategy. Our innovative technology transforms the way that organisations make decisions, allowing them to elevate their employees and drive better business outcomes.  Embarking on an exciting new chapter in our growth story, we are looking for talented individuals who can...",https://berlinstartupjobs.com/companies/visier/
Prisma,Senior Software Engineer (Rust),"At Prisma, we are building the data layer for modern applications. If you are fascinated by the leading-edge architecture and technology used in today’s data-intensive, highly scalable software systems, with distributed graph data on a massive scale, but you want the energy, challenges, and freedom that come with working in a small startup, then a...",https://berlinstartupjobs.com/companies/prisma/
Affilimate,Senior Fullstack Engineer (TypeScript – Remote),"TL;DR We’re an early stage martech and analytics company with a remote team, headquartered in Berlin, Germany. 7+ years of professional experience is ideal for this role. You’ll be joining a small but experienced engineering team. Our codebase is TypeScript on the frontend and backend. There’s a wide variety of projects to work on and...",https://berlinstartupjobs.com/companies/affilimate/
Kaiko Systems,Senior Fullstack Engineer (f/m/d),"Transform operations on the frontline of a key global key industry – shipping – as a Senior Engineer at Kaiko Systems. Shipping is an industry on the brink of disruption. Many other major global industries already went through fundamental changes, and logistics as the backbone of global trade is next. We at Kaiko are dedicated...",https://berlinstartupjobs.com/companies/kaiko-systems/
Prisma,Software Engineer,"At Prisma, we are building the data layer for modern applications. If you are fascinated by the leading-edge architecture and technology used in today’s data-intensive, highly scalable software systems, with distributed graph data on a massive scale, but you want the energy, challenges, and freedom that come with working in a small startup, then a...",https://berlinstartupjobs.com/companies/prisma/
xymatic,Senior front-end developer (full-time),"Summary To provide our customers with experiences which are both powerful with as much features as necessary but also serves the future of our planet by creating as little carbon emissions as possible, we strive for developing the most efficient and lean solutions throughout our software development process. This is where the goals between high-end...",https://berlinstartupjobs.com/companies/xymatic/
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
CALIMA,Full Stack Software Developer (m/w/d),"Über uns: Wir sind ein aufstrebendes Tech-Startup, das sich der Verbesserung der Arbeitssicherheit durch digitale und innovative Lösungen verschrieben hat. Unser Ziel ist es, nutzerfreundliche und effektive Tools für Arbeitssicherheit bei Unternehmen in verschiedenen Branchen im DACH-Raum (und perspektivisch in ganz Europa) zu implementieren. Unsere Unternehmenskultur ist geprägt von Neugierde, Ehrlichkeit, Qualität, Innovation und Professionalität....",https://berlinstartupjobs.com/companies/calima/
Agenta,Founding Product Engineer (Frontend),"About Us: Agenta is an open-source LLM developer platform. We help teams build reliable LLM powered applications such as chatbots or agents. Our product provides the necessary tools for collaboration and building reliable LLM applications: prompt management, evaluation and testing, and observability. We are an open-source company with strong traction and paying customers, backed by...",https://berlinstartupjobs.com/companies/agenta/
Affilimate,Senior Fullstack Engineer (TypeScript – Remote),"TL;DR We’re an early stage martech and analytics company with a remote team, headquartered in Berlin, Germany. 7+ years of professional experience is ideal for this role. You’ll be joining a small but experienced engineering team. Our codebase is TypeScript on the frontend and backend. There’s a wide variety of projects to work on and...",https://berlinstartupjobs.com/companies/affilimate/
Prisma,Senior Software Engineer (Rust),"At Prisma, we are building the data layer for modern applications. If you are fascinated by the leading-edge architecture and technology used in today’s data-intensive, highly scalable software systems, with distributed graph data on a massive scale, but you want the energy, challenges, and freedom that come with working in a small startup, then a...",https://berlinstartupjobs.com/companies/prisma/
Prisma,Software Engineer,"At Prisma, we are building the data layer for modern applications. If you are fascinated by the leading-edge architecture and technology used in today’s data-intensive, highly scalable software systems, with distributed graph data on a massive scale, but you want the energy, challenges, and freedom that come with working in a small startup, then a...",https://berlinstartupjobs.com/companies/prisma/
