Company,Title,Disc,Link
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
CALIMA,Full Stack Software Developer (m/w/d),"Über uns: Wir sind ein aufstrebendes Tech-Startup, das sich der Verbesserung der Arbeitssicherheit durch digitale und innovative Lösungen verschrieben hat. Unser Ziel ist es, nutzerfreundliche und effektive Tools für Arbeitssicherheit bei Unternehmen in verschiedenen Branchen im DACH-Raum (und perspektivisch in ganz Europa) zu implementieren. Unsere Unternehmenskultur ist geprägt von Neugierde, Ehrlichkeit, Qualität, Innovation und Professionalität....",https://berlinstartupjobs.com/companies/calima/
Agenta,Founding Product Engineer (Frontend),"About Us: Agenta is an open-source LLM developer platform. We help teams build reliable LLM powered applications such as chatbots or agents. Our product provides the necessary tools for collaboration and building reliable LLM applications: prompt management, evaluation and testing, and observability. We are an open-source company with strong traction and paying customers, backed by...",https://berlinstartupjobs.com/companies/agenta/
Affilimate,Senior Fullstack Engineer (TypeScript – Remote),"TL;DR We’re an early stage martech and analytics company with a remote team, headquartered in Berlin, Germany. 7+ years of professional experience is ideal for this role. You’ll be joining a small but experienced engineering team. Our codebase is TypeScript on the frontend and backend. There’s a wide variety of projects to work on and...",https://berlinstartupjobs.com/companies/affilimate/
telli,"

","hi all, I’m seb the co-founder & cto of telli.com! We’re hiring founding product engineers for our small in-person team in Berlin. We’re building AI voice agents that change the way sales teams communicate with their customers. We were part of the Y Combinator Fall 24 batch and grew to 6-figures in ARR in less...",https://berlinstartupjobs.com/companies/telli/
Solarize,"

",Solarize is an early stage startup driven by a team with extensive experience in B2B Software as a Service. Our mission is to streamline the billing of electricity deliveries in commercial tenant power and microgrid projects through automation. We are committed to advancing the energy transition by working towards a future where every building can...,https://berlinstartupjobs.com/companies/solarize/
xymatic,Senior front-end developer (full-time),"Summary To provide our customers with experiences which are both powerful with as much features as necessary but also serves the future of our planet by creating as little carbon emissions as possible, we strive for developing the most efficient and lean solutions throughout our software development process. This is where the goals between high-end...",https://berlinstartupjobs.com/companies/xymatic/
xymatic,Senior back-end developer (full-time),"Summary To provide our customers with video infrastructure which is both powerful with as much features as necessary but also serves the future of our planet by creating as little carbon emissions as possible, we strive for developing the most efficient and lean solutions throughout our software development process. This is where the goals between...",https://berlinstartupjobs.com/companies/xymatic/
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
DATATRONiQ,"

",🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/companies/datatroniq/
